* Project:       hupsel
* File content:  specified output data of SWAP
* File name:     hupselbrook/rswap/result_output_tz.csv
* Model version: Swap 4.2.0
* Generated at:  2023-04-21 10:03:40
*,(cm),(cm),(cm3/cm3),(g/cm3 w)
DATE,DEPTH,H,WC,CONC
2002-03-31,-12.500,-6.69021E+01, 2.81524E-01, 5.11786E+00
2002-03-31,-17.500,-6.10930E+01, 2.90132E-01, 7.72193E+00
2002-03-31,-22.500,-5.55087E+01, 2.99104E-01, 1.09798E+01
2002-03-31,-27.500,-5.01025E+01, 3.08509E-01, 1.46799E+01
2002-03-31,-32.500,-4.49505E+01, 2.82034E-01, 1.83838E+01
2002-03-31,-37.500,-3.98931E+01, 2.95763E-01, 2.19177E+01
2002-03-31,-42.500,-3.48734E+01, 3.09858E-01, 2.47653E+01
2002-03-31,-47.500,-2.98767E+01, 3.24061E-01, 2.65131E+01
2002-03-31,-52.500,-2.48928E+01, 3.37977E-01, 2.69664E+01
2002-03-31,-57.500,-1.99145E+01, 3.51052E-01, 2.60248E+01
2002-03-31,-65.000,-1.24464E+01, 3.67529E-01, 2.25215E+01
2002-03-31,-75.000,-2.48374E+00, 3.79434E-01, 1.51243E+01
2002-03-31,-85.000, 7.48718E+00, 3.80000E-01, 8.09632E+00
2002-03-31,-95.000, 1.74621E+01, 3.80000E-01, 3.45750E+00
2002-03-31,-105.000, 2.74393E+01, 3.80000E-01, 1.18905E+00
2002-03-31,-115.000, 3.74188E+01, 3.80000E-01, 3.30450E-01
2002-03-31,-125.000, 4.74006E+01, 3.80000E-01, 7.40804E-02
2002-03-31,-135.000, 5.73846E+01, 3.80000E-01, 1.33006E-02
2002-03-31,-145.000, 6.73709E+01, 3.80000E-01, 1.88685E-03
2002-03-31,-155.000, 7.73595E+01, 3.80000E-01, 2.06873E-04
2002-03-31,-165.000, 8.73504E+01, 3.80000E-01, 1.69175E-05
2002-03-31,-175.000, 9.73436E+01, 3.80000E-01, 9.71937E-07
2002-03-31,-185.000, 1.07339E+02, 3.80000E-01, 3.50151E-08
2002-03-31,-195.000, 1.17337E+02, 3.80000E-01, 5.95381E-10
2002-04-30,-.500,-5.82416E+01, 2.94623E-01, 1.00373E+00
2002-04-30,-1.500,-5.75365E+01, 2.95763E-01, 1.19468E+00
2002-04-30,-2.500,-5.68440E+01, 2.96893E-01, 1.39539E+00
2002-04-30,-3.500,-5.61637E+01, 2.98014E-01, 1.60675E+00
2002-04-30,-4.500,-5.54951E+01, 2.99127E-01, 1.82905E+00
2002-04-30,-5.500,-5.48375E+01, 3.00232E-01, 2.06228E+00
2002-04-30,-6.500,-5.41902E+01, 3.01330E-01, 2.30634E+00
2002-04-30,-7.500,-5.35525E+01, 3.02422E-01, 2.56126E+00
2002-04-30,-8.500,-5.29236E+01, 3.03509E-01, 2.82724E+00
2002-04-30,-9.500,-5.23027E+01, 3.04592E-01, 3.10468E+00
2002-04-30,-12.500,-5.04345E+01, 3.07910E-01, 3.97312E+00
2002-04-30,-17.500,-4.74726E+01, 3.13361E-01, 5.83716E+00
2002-04-30,-22.500,-4.44995E+01, 3.19076E-01, 8.25035E+00
2002-04-30,-27.500,-4.13948E+01, 3.25315E-01, 1.11954E+01
2002-04-30,-32.500,-3.72631E+01, 3.03105E-01, 1.44015E+01
2002-04-30,-37.500,-3.27512E+01, 3.15890E-01, 1.79074E+01
2002-04-30,-42.500,-2.81115E+01, 3.29045E-01, 2.13061E+01
2002-04-30,-47.500,-2.33713E+01, 3.42091E-01, 2.40543E+01
2002-04-30,-52.500,-1.85560E+01, 3.54386E-01, 2.56502E+01
2002-04-30,-57.500,-1.36871E+01, 3.65147E-01, 2.57773E+01
2002-04-30,-65.000,-6.31816E+00, 3.76545E-01, 2.35164E+01
2002-04-30,-75.000, 3.56758E+00, 3.80000E-01, 1.67254E+01
2002-04-30,-85.000, 1.34756E+01, 3.80000E-01, 9.59967E+00
2002-04-30,-95.000, 2.33913E+01, 3.80000E-01, 4.41286E+00
2002-04-30,-105.000, 3.33146E+01, 3.80000E-01, 1.63422E+00
2002-04-30,-115.000, 4.32456E+01, 3.80000E-01, 4.88998E-01
2002-04-30,-125.000, 5.31843E+01, 3.80000E-01, 1.18016E-01
2002-04-30,-135.000, 6.31306E+01, 3.80000E-01, 2.28106E-02
2002-04-30,-145.000, 7.30846E+01, 3.80000E-01, 3.48374E-03
2002-04-30,-155.000, 8.30463E+01, 3.80000E-01, 4.11214E-04
2002-04-30,-165.000, 9.30156E+01, 3.80000E-01, 3.62038E-05
2002-04-30,-175.000, 1.02993E+02, 3.80000E-01, 2.23913E-06
2002-04-30,-185.000, 1.12977E+02, 3.80000E-01, 8.68300E-08
2002-04-30,-195.000, 1.22970E+02, 3.80000E-01, 1.58911E-09
2002-05-31,-.500,-8.26282E+01, 2.61356E-01, 1.20431E+00
2002-05-31,-1.500,-8.13256E+01, 2.62874E-01, 1.12336E+00
2002-05-31,-2.500,-8.00291E+01, 2.64410E-01, 1.14920E+00
2002-05-31,-3.500,-7.87394E+01, 2.65963E-01, 1.22544E+00
2002-05-31,-4.500,-7.74572E+01, 2.67533E-01, 1.32290E+00
2002-05-31,-5.500,-7.61831E+01, 2.69119E-01, 1.42950E+00
2002-05-31,-6.500,-7.49175E+01, 2.70722E-01, 1.54132E+00
2002-05-31,-7.500,-7.36608E+01, 2.72339E-01, 1.65862E+00
2002-05-31,-8.500,-7.24133E+01, 2.73972E-01, 1.78367E+00
2002-05-31,-9.500,-7.11751E+01, 2.75620E-01, 1.91920E+00
2002-05-31,-12.500,-6.75140E+01, 2.80657E-01, 2.36363E+00
2002-05-31,-17.500,-6.16124E+01, 2.89334E-01, 3.51734E+00
2002-05-31,-22.500,-5.59297E+01, 2.98402E-01, 5.07470E+00
2002-05-31,-27.500,-5.04387E+01, 3.07903E-01, 7.01910E+00
2002-05-31,-32.500,-4.52513E+01, 2.81237E-01, 9.28618E+00
2002-05-31,-37.500,-4.01798E+01, 2.94970E-01, 1.19145E+01
2002-05-31,-42.500,-3.51521E+01, 3.09068E-01, 1.47806E+01
2002-05-31,-47.500,-3.01500E+01, 3.23286E-01, 1.76210E+01
2002-05-31,-52.500,-2.51620E+01, 3.37240E-01, 2.01454E+01
2002-05-31,-57.500,-2.01804E+01, 3.50386E-01, 2.20485E+01
2002-05-31,-65.000,-1.27083E+01, 3.67040E-01, 2.36232E+01
2002-05-31,-75.000,-2.74187E+00, 3.79314E-01, 2.11747E+01
2002-05-31,-85.000, 7.23178E+00, 3.80000E-01, 1.55194E+01
2002-05-31,-95.000, 1.72092E+01, 3.80000E-01, 9.24002E+00
2002-05-31,-105.000, 2.71886E+01, 3.80000E-01, 4.46866E+00
2002-05-31,-115.000, 3.71701E+01, 3.80000E-01, 1.75231E+00
2002-05-31,-125.000, 4.71537E+01, 3.80000E-01, 5.54853E-01
2002-05-31,-135.000, 5.71393E+01, 3.80000E-01, 1.40738E-01
2002-05-31,-145.000, 6.71270E+01, 3.80000E-01, 2.82073E-02
2002-05-31,-155.000, 7.71167E+01, 3.80000E-01, 4.36934E-03
2002-05-31,-165.000, 8.71085E+01, 3.80000E-01, 5.04794E-04
2002-05-31,-175.000, 9.71023E+01, 3.80000E-01, 4.09644E-05
2002-05-31,-185.000, 1.07098E+02, 3.80000E-01, 2.08393E-06
2002-05-31,-195.000, 1.17096E+02, 3.80000E-01, 5.00204E-08
2002-06-30,-.500,-1.26166E+02, 2.21860E-01, 1.84842E+00
2002-06-30,-1.500,-1.24335E+02, 2.23177E-01, 1.73480E+00
2002-06-30,-2.500,-1.22513E+02, 2.24513E-01, 1.80372E+00
2002-06-30,-3.500,-1.20700E+02, 2.25866E-01, 1.96779E+00
2002-06-30,-4.500,-1.18897E+02, 2.27235E-01, 2.17371E+00
2002-06-30,-5.500,-1.17106E+02, 2.28621E-01, 2.39893E+00
2002-06-30,-6.500,-1.15326E+02, 2.30024E-01, 2.63957E+00
2002-06-30,-7.500,-1.13557E+02, 2.31443E-01, 2.89987E+00
2002-06-30,-8.500,-1.11800E+02, 2.32880E-01, 3.18609E+00
2002-06-30,-9.500,-1.10054E+02, 2.34334E-01, 3.50332E+00
2002-06-30,-12.500,-1.04925E+02, 2.38767E-01, 4.55359E+00
2002-06-30,-17.500,-9.64832E+01, 2.46632E-01, 6.96386E+00
2002-06-30,-22.500,-8.81995E+01, 2.55137E-01, 9.66490E+00
2002-06-30,-27.500,-8.00664E+01, 2.64365E-01, 1.24810E+01
2002-06-30,-32.500,-7.28371E+01, 2.19533E-01, 1.55062E+01
2002-06-30,-37.500,-6.62940E+01, 2.32100E-01, 1.78541E+01
2002-06-30,-42.500,-6.00797E+01, 2.45201E-01, 1.98956E+01
2002-06-30,-47.500,-5.41465E+01, 2.58818E-01, 2.15970E+01
2002-06-30,-52.500,-4.84488E+01, 2.72913E-01, 2.28668E+01
2002-06-30,-57.500,-4.29423E+01, 2.87415E-01, 2.36281E+01
2002-06-30,-65.000,-3.49525E+01, 3.09634E-01, 2.39176E+01
2002-06-30,-75.000,-2.46493E+01, 3.38641E-01, 2.11804E+01
